Filename,Eulerian Circuits,Time Elapsed (s),Status
chain_g10_M210_r2.gr,512,102.478,COMPLETE
chain_g10_M210_r3.gr,512,81.4142,COMPLETE
chain_g10_M250_r1.gr,512,238.366,COMPLETE
chain_g10_M250_r2.gr,512,223.817,COMPLETE
chain_g10_M250_r3.gr,512,224.659,COMPLETE
chain_g10_M300_r1.gr,512,262.82,COMPLETE
chain_g10_M300_r2.gr,512,265.089,COMPLETE
chain_g10_M300_r3.gr,512,283.648,COMPLETE
chain_g10_M40_r1.gr,512,0.47321,COMPLETE
chain_g10_M40_r2.gr,512,0.758831,COMPLETE
chain_g10_M40_r3.gr,512,0.691739,COMPLETE
chain_g10_M60_r1.gr,512,2.14647,COMPLETE
chain_g10_M60_r2.gr,512,2.59772,COMPLETE
chain_g10_M60_r3.gr,512,2.78245,COMPLETE
chain_g10_M80_r1.gr,512,4.42985,COMPLETE
chain_g10_M80_r2.gr,512,4.31955,COMPLETE
chain_g10_M80_r3.gr,512,4.42681,COMPLETE
chain_g12_M120_r1.gr,2048,101.246,COMPLETE
chain_g12_M120_r2.gr,2048,106.049,COMPLETE
chain_g12_M120_r3.gr,2048,100.309,COMPLETE
chain_g12_M150_r1.gr,2048,125.781,COMPLETE
chain_g12_M150_r2.gr,2048,147.165,COMPLETE
chain_g12_M150_r3.gr,2048,153.682,COMPLETE
chain_g12_M180_r1.gr,2048,321.188,COMPLETE
chain_g12_M180_r2.gr,2048,322.584,COMPLETE
chain_g12_M180_r3.gr,2048,304.819,COMPLETE
chain_g12_M220_r1.gr,32837518,601.292,PARTIAL(3896/4096)
chain_g12_M220_r2.gr,-4588431,600.459,PARTIAL(3978/4096)
chain_g12_M220_r3.gr,32492790,601.05,PARTIAL(3814/4096)
chain_g12_M260_r1.gr,-16715770,601.141,PARTIAL(2555/4096)
chain_g12_M260_r2.gr,-14825114,600.899,PARTIAL(3011/4096)
chain_g12_M260_r3.gr,-104377438,601.116,PARTIAL(3020/4096)
chain_g12_M300_r1.gr,31703417,601.666,PARTIAL(1935/4096)
chain_g12_M300_r2.gr,67978884,602.136,PARTIAL(1864/4096)
chain_g12_M300_r3.gr,91057021,602.279,PARTIAL(2014/4096)
chain_g12_M350_r1.gr,101876175,602.817,PARTIAL(964/4096)
chain_g12_M350_r2.gr,55267657,603.066,PARTIAL(948/4096)
chain_g12_M350_r3.gr,460844144,602.555,PARTIAL(972/4096)
chain_g12_M50_r1.gr,2048,4.42916,COMPLETE
chain_g12_M50_r2.gr,2048,4.45664,COMPLETE
